"timestamp","metric1","metric2"
"2025-11-11T15:55:15","38","0.11"
"2025-11-11T15:57:10","39","0.11"
"2025-11-11T15:58:21","41","0.11"
"2025-11-11T16:05:16","43","0.14"
"2025-11-11T16:07:05","44","0.14"
"2025-11-11T16:10:13","45","0.14"
"2025-11-11T16:13:39","46","0.14"
"2025-11-11T16:16:27","47","0.14"
"2025-11-11T16:18:05","48","0.15"
"2025-11-11T16:19:59","49","0.15"
"2025-11-11T16:24:40","50","0.13"
"2025-11-11T16:27:30","51","0.13"
"2025-11-11T17:42:37","11759","1237.011"
"2025-11-11T17:48:01","11760","1237.012"
"2025-11-11T17:50:32","11761","1237.012"
"2025-11-11T17:54:52","11762","1237.012"
